pdb_name,processed_path,num_chains,seq_len,modeled_seq_len
3SO4-A,train_set/ec/3SO4-A.pkl,1,381,381
3L9Q-A,train_set/ec/3L9Q-A.pkl,1,407,407
5FLW-A,train_set/ec/5FLW-A.pkl,1,961,961
2NN6-I,train_set/ec/2NN6-I.pkl,1,180,180
5TVM-E,train_set/ec/5TVM-E.pkl,1,325,325
4TXV-B,train_set/ec/4TXV-B.pkl,1,258,258
3KEP-A,train_set/ec/3KEP-A.pkl,1,260,260
3TS9-A,train_set/ec/3TS9-A.pkl,1,168,168
5F59-A,train_set/ec/5F59-A.pkl,1,201,201
1KEA-A,train_set/ec/1KEA-A.pkl,1,421,421
4UEJ-A,train_set/ec/4UEJ-A.pkl,1,658,658
3ZXV-A,train_set/ec/3ZXV-A.pkl,1,675,675
1XXW-A,train_set/ec/1XXW-A.pkl,1,210,210
5JH5-A,train_set/ec/5JH5-A.pkl,1,289,289
5FJ3-A,train_set/ec/5FJ3-A.pkl,1,535,535
3IPI-A,train_set/ec/3IPI-A.pkl,1,355,355
5ZW7-A,train_set/ec/5ZW7-A.pkl,1,902,902
4CVC-A,train_set/ec/4CVC-A.pkl,1,1133,1133
4P4L-A,train_set/ec/4P4L-A.pkl,1,295,295
7BST-D,train_set/ec/7BST-D.pkl,1,472,472
1MWI-A,train_set/ec/1MWI-A.pkl,1,267,267
5HDM-A,train_set/ec/5HDM-A.pkl,1,973,973
1FSU-A,train_set/ec/1FSU-A.pkl,1,746,746
1MHZ-B,train_set/ec/1MHZ-B.pkl,1,383,383
1WYL-A,train_set/ec/1WYL-A.pkl,1,116,116
2F7V-A,train_set/ec/2F7V-A.pkl,1,729,729
5D6W-A,train_set/ec/5D6W-A.pkl,1,237,237
6N39-A,train_set/ec/6N39-A.pkl,1,710,710
3DXS-X,train_set/ec/3DXS-X.pkl,1,190,190
5EDU-B,train_set/ec/5EDU-B.pkl,1,752,752
2L6K-A,train_set/ec/2L6K-A.pkl,1,115,115
6NRZ-A,train_set/ec/6NRZ-A.pkl,1,859,859
2PZD-A,train_set/ec/2PZD-A.pkl,1,111,111
4MOP-A,train_set/ec/4MOP-A.pkl,1,935,935
3GPK-A,train_set/ec/3GPK-A.pkl,1,234,234
1XDJ-A,train_set/ec/1XDJ-A.pkl,1,871,871
5BPX-A,train_set/ec/5BPX-A.pkl,1,297,297
4P0P-B,train_set/ec/4P0P-B.pkl,1,296,296
4ECD-A,train_set/ec/4ECD-A.pkl,1,342,342
1Z85-A,train_set/ec/1Z85-A.pkl,1,384,384
4JG6-A,train_set/ec/4JG6-A.pkl,1,344,344
3WFI-A,train_set/ec/3WFI-A.pkl,1,446,446
2C7Y-A,train_set/ec/2C7Y-A.pkl,1,619,619
6PNJ-A,train_set/ec/6PNJ-A.pkl,1,747,747
6YHU-A,train_set/ec/6YHU-A.pkl,1,90,90
5KRV-A,train_set/ec/5KRV-A.pkl,1,498,498
3VC2-A,train_set/ec/3VC2-A.pkl,1,403,403
3TY8-A,train_set/ec/3TY8-A.pkl,1,452,452
3BT7-A,train_set/ec/3BT7-A.pkl,1,449,449
2CK3-H,train_set/ec/2CK3-H.pkl,1,91,91
1HFU-A,train_set/ec/1HFU-A.pkl,1,961,961
1QH4-A,train_set/ec/1QH4-A.pkl,1,741,741
4XF7-A,train_set/ec/4XF7-A.pkl,1,329,329
3EDY-A,train_set/ec/3EDY-A.pkl,1,780,780
1RIW-B,train_set/ec/1RIW-B.pkl,1,256,256
4QGN-A,train_set/ec/4QGN-A.pkl,1,206,206
1YJ8-A,train_set/ec/1YJ8-A.pkl,1,361,361
6W7X-A,train_set/ec/6W7X-A.pkl,1,514,514
2JUN-A,train_set/ec/2JUN-A.pkl,1,101,101
6NI0-A,train_set/ec/6NI0-A.pkl,1,289,289
2FU3-A,train_set/ec/2FU3-A.pkl,1,442,442
6QH2-A,train_set/ec/6QH2-A.pkl,1,142,142
