pdb_name,processed_path,num_chains,seq_len,modeled_seq_len
d2f2ac1,train_set/fold/d2f2ac1.pkl,1,92,92
d2jdid2,train_set/fold/d2jdid2.pkl,1,72,72
d1fxkc_,train_set/fold/d1fxkc_.pkl,1,133,133
d1eiya1,train_set/fold/d1eiya1.pkl,1,79,79
d1ulza1,train_set/fold/d1ulza1.pkl,1,123,123
d1jaka2,train_set/fold/d1jaka2.pkl,1,143,143
d2ux9a1,train_set/fold/d2ux9a1.pkl,1,66,66
d1nqjb_,train_set/fold/d1nqjb_.pkl,1,114,114
d1n8ia_,train_set/fold/d1n8ia_.pkl,1,701,701
d1ib8a1,train_set/fold/d1ib8a1.pkl,1,74,74
d1eija_,train_set/fold/d1eija_.pkl,1,72,72
d2glza1,train_set/fold/d2glza1.pkl,1,147,147
d2bgra1,train_set/fold/d2bgra1.pkl,1,470,470
d1hf2a1,train_set/fold/d1hf2a1.pkl,1,107,107
d1ciya2,train_set/fold/d1ciya2.pkl,1,206,206
d1nowa2,train_set/fold/d1nowa2.pkl,1,131,131
d1v74b_,train_set/fold/d1v74b_.pkl,1,87,87
d1kf6c_,train_set/fold/d1kf6c_.pkl,1,130,130
d1eeja2,train_set/fold/d1eeja2.pkl,1,60,60
d1ri6a_,train_set/fold/d1ri6a_.pkl,1,333,333
d1v58a2,train_set/fold/d1v58a2.pkl,1,60,60
d1w7ca1,train_set/fold/d1w7ca1.pkl,1,459,459
d1de4c1,train_set/fold/d1de4c1.pkl,1,148,148
d2axtt1,train_set/fold/d2axtt1.pkl,1,30,30
d1xsza2,train_set/fold/d1xsza2.pkl,1,157,157
d1f46a_,train_set/fold/d1f46a_.pkl,1,139,139
d2hrca1,train_set/fold/d2hrca1.pkl,1,359,359
d1vf8a2,train_set/fold/d1vf8a2.pkl,1,70,70
d1hyoa1,train_set/fold/d1hyoa1.pkl,1,118,118
d2g7ja1,train_set/fold/d2g7ja1.pkl,1,112,112
d2nn6i2,train_set/fold/d2nn6i2.pkl,1,55,55
d1vzia1,train_set/fold/d1vzia1.pkl,1,88,88
d1goia1,train_set/fold/d1goia1.pkl,1,52,52
d1flei_,train_set/fold/d1flei_.pkl,1,47,47
d1fm0e_,train_set/fold/d1fm0e_.pkl,1,142,142
d2k5qa1,train_set/fold/d2k5qa1.pkl,1,96,96
d2bl8a1,train_set/fold/d2bl8a1.pkl,1,93,93
d1n4ka1,train_set/fold/d1n4ka1.pkl,1,150,150
d2gc6a2,train_set/fold/d2gc6a2.pkl,1,292,292
d1vloa1,train_set/fold/d1vloa1.pkl,1,88,88
d2oc6a1,train_set/fold/d2oc6a1.pkl,1,120,120
d2iqia1,train_set/fold/d2iqia1.pkl,1,173,173
d1jlxa2,train_set/fold/d1jlxa2.pkl,1,146,146
d2gboa1,train_set/fold/d2gboa1.pkl,1,79,79
d1fkma1,train_set/fold/d1fkma1.pkl,1,193,193
