pdb_name,processed_path,num_chains,seq_len,modeled_seq_len
4LI7-A,train_set/go/4LI7-A.pkl,1,287,287
1VPK-A,train_set/go/1VPK-A.pkl,1,531,531
1BMT-A,train_set/go/1BMT-A.pkl,1,247,247
1M1K-1,train_set/go/1M1K-1.pkl,1,112,112
6NBQ-B,train_set/go/6NBQ-B.pkl,1,483,483
3G8Q-A,train_set/go/3G8Q-A.pkl,1,343,343
1YJ9-N,train_set/go/1YJ9-N.pkl,1,250,250
1FR2-B,train_set/go/1FR2-B.pkl,1,239,239
6F1D-A,train_set/go/6F1D-A.pkl,1,203,203
6AQ7-A,train_set/go/6AQ7-A.pkl,1,178,178
1SVL-A,train_set/go/1SVL-A.pkl,1,426,426
4XEE-A,train_set/go/4XEE-A.pkl,1,475,475
5KER-D,train_set/go/5KER-D.pkl,1,245,245
4Z2Y-A,train_set/go/4Z2Y-A.pkl,1,303,303
1V72-A,train_set/go/1V72-A.pkl,1,551,551
4RKU-K,train_set/go/4RKU-K.pkl,1,66,66
5U8R-A,train_set/go/5U8R-A.pkl,1,801,801
2YSM-A,train_set/go/2YSM-A.pkl,1,111,111
5F59-A,train_set/go/5F59-A.pkl,1,201,201
5LDD-A,train_set/go/5LDD-A.pkl,1,186,186
3BRO-A,train_set/go/3BRO-A.pkl,1,330,330
6G58-A,train_set/go/6G58-A.pkl,1,628,628
5TX2-A,train_set/go/5TX2-A.pkl,1,147,147
3FAC-A,train_set/go/3FAC-A.pkl,1,153,153
5V57-A,train_set/go/5V57-A.pkl,1,645,645
6HBG-D,train_set/go/6HBG-D.pkl,1,38,38
5YZD-A,train_set/go/5YZD-A.pkl,1,84,84
1JT0-A,train_set/go/1JT0-A.pkl,1,194,194
1LSS-A,train_set/go/1LSS-A.pkl,1,215,215
5BZA-A,train_set/go/5BZA-A.pkl,1,625,625
4KNH-A,train_set/go/4KNH-A.pkl,1,1046,1046
3GMJ-D,train_set/go/3GMJ-D.pkl,1,214,214
5KCG-A,train_set/go/5KCG-A.pkl,1,546,546
3TAC-A,train_set/go/3TAC-A.pkl,1,389,389
4WD1-A,train_set/go/4WD1-A.pkl,1,1155,1155
3IYJ-F,train_set/go/3IYJ-F.pkl,1,469,469
4IMD-A,train_set/go/4IMD-A.pkl,1,506,506
3FAL-B,train_set/go/3FAL-B.pkl,1,243,243
3JB9-S,train_set/go/3JB9-S.pkl,1,132,132
2A96-A,train_set/go/2A96-A.pkl,1,286,286
5AHK-A,train_set/go/5AHK-A.pkl,1,972,972
1LR0-A,train_set/go/1LR0-A.pkl,1,249,249
1DP9-A,train_set/go/1DP9-A.pkl,1,171,171
3MSV-A,train_set/go/3MSV-A.pkl,1,551,551
1GAL-A,train_set/go/1GAL-A.pkl,1,733,733
1MHM-B,train_set/go/1MHM-B.pkl,1,78,78
5EY5-A,train_set/go/5EY5-A.pkl,1,352,352
1VGM-A,train_set/go/1VGM-A.pkl,1,561,561
6D46-A,train_set/go/6D46-A.pkl,1,557,557
4E0H-A,train_set/go/4E0H-A.pkl,1,126,126
2V1O-A,train_set/go/2V1O-A.pkl,1,295,295
3A2K-A,train_set/go/3A2K-A.pkl,1,462,462
5V4P-A,train_set/go/5V4P-A.pkl,1,596,596
2CPN-A,train_set/go/2CPN-A.pkl,1,89,89
4Z04-A,train_set/go/4Z04-A.pkl,1,247,247
5N4K-A,train_set/go/5N4K-A.pkl,1,317,317
3NET-A,train_set/go/3NET-A.pkl,1,505,505
3J7A-Q,train_set/go/3J7A-Q.pkl,1,144,144
3DFG-A,train_set/go/3DFG-A.pkl,1,385,385
3AUW-B,train_set/go/3AUW-B.pkl,1,177,177
2Z2M-B,train_set/go/2Z2M-B.pkl,1,393,393
5HUQ-A,train_set/go/5HUQ-A.pkl,1,433,433
4NVQ-A,train_set/go/4NVQ-A.pkl,1,407,407
5FL7-D,train_set/go/5FL7-D.pkl,1,474,474
6AZ1-B,train_set/go/6AZ1-B.pkl,1,211,211
2DBD-A,train_set/go/2DBD-A.pkl,1,107,107
1X2N-A,train_set/go/1X2N-A.pkl,1,73,73
4TXO-C,train_set/go/4TXO-C.pkl,1,269,269
3P16-A,train_set/go/3P16-A.pkl,1,375,375
1MIU-A,train_set/go/1MIU-A.pkl,1,671,671
1FVR-A,train_set/go/1FVR-A.pkl,1,524,524
2C0K-A,train_set/go/2C0K-A.pkl,1,152,152
1XKZ-A,train_set/go/1XKZ-A.pkl,1,270,270
2AE2-A,train_set/go/2AE2-A.pkl,1,378,378
4FAO-C,train_set/go/4FAO-C.pkl,1,75,75
4PZJ-A,train_set/go/4PZJ-A.pkl,1,134,134
6A4A-A,train_set/go/6A4A-A.pkl,1,203,203
2QRV-B,train_set/go/2QRV-B.pkl,1,186,186
4CNT-A,train_set/go/4CNT-A.pkl,1,488,488
1YC6-A,train_set/go/1YC6-A.pkl,1,168,168
2ZMD-A,train_set/go/2ZMD-A.pkl,1,285,285
1LNL-A,train_set/go/1LNL-A.pkl,1,408,408
1DG6-A,train_set/go/1DG6-A.pkl,1,375,375
3L7P-A,train_set/go/3L7P-A.pkl,1,110,110
4MCA-A,train_set/go/4MCA-A.pkl,1,541,541
2KYR-A,train_set/go/2KYR-A.pkl,1,108,108
5CM5-A,train_set/go/5CM5-A.pkl,1,377,377
3LPE-A,train_set/go/3LPE-A.pkl,1,147,147
1K1F-A,train_set/go/1K1F-A.pkl,1,162,162
4LCZ-A,train_set/go/4LCZ-A.pkl,1,266,266
2VVF-A,train_set/go/2VVF-A.pkl,1,305,305
5IRX-A,train_set/go/5IRX-A.pkl,1,394,394
2NCA-A,train_set/go/2NCA-A.pkl,1,126,126
4AT3-A,train_set/go/4AT3-A.pkl,1,604,604
6EYU-A,train_set/go/6EYU-A.pkl,1,255,255
3CQB-A,train_set/go/3CQB-A.pkl,1,211,211
3CFF-A,train_set/go/3CFF-A.pkl,1,353,353
6IDK-A,train_set/go/6IDK-A.pkl,1,394,394
2JG7-A,train_set/go/2JG7-A.pkl,1,527,527
2P23-A,train_set/go/2P23-A.pkl,1,159,159
4GKR-A,train_set/go/4GKR-A.pkl,1,323,323
3L0D-A,train_set/go/3L0D-A.pkl,1,410,410
5LG6-A,train_set/go/5LG6-A.pkl,1,1105,1105
3TJZ-B,train_set/go/3TJZ-B.pkl,1,264,264
1UMR-C,train_set/go/1UMR-C.pkl,1,168,168
2WQY-D,train_set/go/2WQY-D.pkl,1,161,161
5NXB-C,train_set/go/5NXB-C.pkl,1,80,80
3A26-A,train_set/go/3A26-A.pkl,1,318,318
2J48-A,train_set/go/2J48-A.pkl,1,119,119
6NEQ-k,train_set/go/6NEQ-k.pkl,1,275,275
4S1W-A,train_set/go/4S1W-A.pkl,1,609,609
3UP0-A,train_set/go/3UP0-A.pkl,1,489,489
1Z0B-A,train_set/go/1Z0B-A.pkl,1,416,416
6FYX-q,train_set/go/6FYX-q.pkl,1,621,621
4M4X-A,train_set/go/4M4X-A.pkl,1,156,156
1CWP-A,train_set/go/1CWP-A.pkl,1,149,149
3LYN-A,train_set/go/3LYN-A.pkl,1,234,234
6NMI-E,train_set/go/6NMI-E.pkl,1,366,366
3ENG-A,train_set/go/3ENG-A.pkl,1,358,358
1SMK-A,train_set/go/1SMK-A.pkl,1,392,392
4D6U-F,train_set/go/4D6U-F.pkl,1,98,98
2A4D-A,train_set/go/2A4D-A.pkl,1,208,208
2D8I-A,train_set/go/2D8I-A.pkl,1,114,114
3LDG-A,train_set/go/3LDG-A.pkl,1,776,776
4FJO-C,train_set/go/4FJO-C.pkl,1,289,289
3FSY-A,train_set/go/3FSY-A.pkl,1,480,480
4YCV-A,train_set/go/4YCV-A.pkl,1,488,488
1IU8-A,train_set/go/1IU8-A.pkl,1,455,455
6DFF-S,train_set/go/6DFF-S.pkl,1,142,142
3NBJ-A,train_set/go/3NBJ-A.pkl,1,1113,1113
6B6M-A,train_set/go/6B6M-A.pkl,1,248,248
3HBF-A,train_set/go/3HBF-A.pkl,1,689,689
3UDO-A,train_set/go/3UDO-A.pkl,1,447,447
5THG-A,train_set/go/5THG-A.pkl,1,298,298
5WT2-A,train_set/go/5WT2-A.pkl,1,428,428
6FPX-A,train_set/go/6FPX-A.pkl,1,272,272
6GMH-U,train_set/go/6GMH-U.pkl,1,110,110
6MDP-A,train_set/go/6MDP-A.pkl,1,511,511
4BPC-A,train_set/go/4BPC-A.pkl,1,748,748
4B1C-A,train_set/go/4B1C-A.pkl,1,636,636
1C17-M,train_set/go/1C17-M.pkl,1,142,142
3G3Z-A,train_set/go/3G3Z-A.pkl,1,192,192
3BWH-A,train_set/go/3BWH-A.pkl,1,499,499
3W0L-A,train_set/go/3W0L-A.pkl,1,458,458
1RMG-A,train_set/go/1RMG-A.pkl,1,599,599
4FAJ-A,train_set/go/4FAJ-A.pkl,1,918,918
3AEO-A,train_set/go/3AEO-A.pkl,1,653,653
6ONN-A,train_set/go/6ONN-A.pkl,1,796,796
6BDY-A,train_set/go/6BDY-A.pkl,1,769,769
4DD8-A,train_set/go/4DD8-A.pkl,1,307,307
3SSI-A,train_set/go/3SSI-A.pkl,1,139,139
5K0P-A,train_set/go/5K0P-A.pkl,1,164,164
1MKW-K,train_set/go/1MKW-K.pkl,1,374,374
4ES4-A,train_set/go/4ES4-A.pkl,1,206,206
4LO9-A,train_set/go/4LO9-A.pkl,1,253,253
1E3O-C,train_set/go/1E3O-C.pkl,1,214,214
5D6O-A,train_set/go/5D6O-A.pkl,1,921,921
3LSZ-A,train_set/go/3LSZ-A.pkl,1,348,348
3UNP-A,train_set/go/3UNP-A.pkl,1,253,253
3KWP-A,train_set/go/3KWP-A.pkl,1,309,309
2O01-1,train_set/go/2O01-1.pkl,1,175,175
5UJW-A,train_set/go/5UJW-A.pkl,1,273,273
6AUC-A,train_set/go/6AUC-A.pkl,1,194,194
2X04-A,train_set/go/2X04-A.pkl,1,168,168
1HQC-A,train_set/go/1HQC-A.pkl,1,314,314
5F1M-A,train_set/go/5F1M-A.pkl,1,390,390
5V93-c,train_set/go/5V93-c.pkl,1,207,207
1CPN-A,train_set/go/1CPN-A.pkl,1,325,325
2R5Y-B,train_set/go/2R5Y-B.pkl,1,97,97
